,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
151,2013,Maruti Suzuki,Maruti Suzuki Swift ZXi,Swift,440000.00000000006,89869.0,Petrol,Pune
152,2014,Chevrolet,Chevrolet Beat LS Petrol,Beat,210000.0,74873.0,Petrol,Pune
153,2018,Tata,Tata Nexon XM Diesel,Nexon,725000.0,82169.0,Diesel,Pune
154,2011,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,275000.0,62000.0,Petrol,Pune
155,2016,Mercedes-Benz,Mercedes-Benz E-Class E 250 CDI Avantgarde,E-Class,2900000.0,44500.0,Diesel,Pune
156,2013,Audi,Audi A4 2.0 TDI (177bhp) Premium Plus,A4,1700000.0,45477.0,Diesel,Pune
157,2013,Hyundai,Hyundai Verna Fluidic 1.4 VTVT,Verna,530000.0,45588.0,Petrol,Pune
158,2013,Maruti Suzuki,Maruti Suzuki Alto 800 Lxi,Alto,275000.0,56498.0,Petrol,Pune
159,2012,Honda,Honda Brio S(O)MT,Brio,275000.0,39877.0,Petrol,Pune
160,2018,Maruti Suzuki,Maruti Suzuki Ignis Sigma 1.2 MT,Ignis,450000.0,29628.0,Petrol,Pune
161,2011,Mahindra,Mahindra XUV500 W8,XUV500,520000.0,75000.0,Diesel,Pune
162,2012,Chevrolet,Chevrolet Cruze LTZ AT,Cruze,405000.0,87387.0,Diesel,Pune
163,2015,Mercedes-Benz,Mercedes-Benz E-Class E 250 CDI Avantgarde,E-Class,2740000.0,63000.0,Diesel,Pune
164,2018,Maruti Suzuki,Maruti Suzuki Dzire VDi,Dzire,750000.0,83074.0,Diesel,Pune
165,2018,Mahindra,Mahindra KUV100 NXT K4 Plus 6 STR [2017-2020],KUV100,450000.0,60484.0,Petrol,Pune
166,2013,BMW,BMW 3 Series 320d Sport Line,3,1425000.0,74000.0,Diesel,Pune
167,2018,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,575000.0,12000.0,Petrol,Pune
168,2012,Skoda,Skoda Rapid Elegance 1.6 TDI CR MT,Rapid,400000.0,58000.0,Diesel,Pune
169,2013,Audi,Audi A6 2.0 TDI Premium,A6,1650000.0,67000.0,Diesel,Pune
170,2017,Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],Grand,490000.00000000006,38500.0,Petrol,Pune
171,2018,Hyundai,Hyundai Verna 1.6 CRDI SX (O),Verna,1150000.0,66563.0,Diesel,Pune
172,2019,MINI,MINI Cooper S,Cooper,5300000.0,700.0,Petrol,Pune
173,2017,Maruti Suzuki,Maruti Suzuki Ertiga ZDI + SHVS,Ertiga,925000.0,39000.0,Diesel,Pune
174,2010,Toyota,Toyota Fortuner 3.0 MT,Fortuner,1075000.0,141000.0,Diesel,Pune
175,2015,Toyota,Toyota Innova 2.5 G BS IV 7 STR,Innova,1000000.0,142502.0,Diesel,Pune
176,2019,Tata,Tata Harrier XZ [2019-2020],Harrier,1650000.0,49997.0,Diesel,Pune
177,2019,Maruti Suzuki,Maruti Suzuki Swift VXi AMT,Swift,675000.0,11233.0,Petrol,Pune
178,2018,Maruti Suzuki,Maruti Suzuki Dzire VDi,Dzire,850000.0,77000.0,Diesel,Pune
179,2019,MINI,MINI Cooper S,Cooper,5300000.0,700.0,Petrol,Pune
180,2018,Hyundai,Hyundai Verna 1.6 CRDI SX (O),Verna,1150000.0,66563.0,Diesel,Pune
181,2013,Audi,Audi A6 2.0 TDI Premium,A6,1650000.0,67000.0,Diesel,Pune
182,2012,Skoda,Skoda Rapid Elegance 1.6 TDI CR MT,Rapid,400000.0,58000.0,Diesel,Pune
183,2017,Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2016-2017],Grand,490000.00000000006,38500.0,Petrol,Pune
184,2016,Toyota,Toyota Innova 2.5 VX BS IV 7 STR,Innova,1150000.0,132000.0,Diesel,Pune
185,2017,Maruti Suzuki,Maruti Suzuki Ertiga ZDI + SHVS,Ertiga,925000.0,39000.0,Diesel,Pune
186,2019,Volkswagen,Volkswagen Vento Highline Plus 1.5 AT (D) 16 Alloy,Vento,1250000.0,12000.0,Diesel,Pune
187,2015,Honda,Honda Jazz VX Diesel,Jazz,620000.0,65000.0,Diesel,Pune
188,2010,Honda,Honda City 1.5 V MT,City,330000.0,72000.0,Petrol,Pune
189,2015,BMW,BMW X3 xDrive 20d Expedition,X3,2400000.0,85200.0,Diesel,Pune
190,2015,Maruti Suzuki,Maruti Suzuki Swift VXi,Swift,509999.99999999994,30000.0,Petrol,Pune
191,2016,BMW,BMW X5 xDrive 30d,X5,3800000.0,53000.0,Diesel,Pune
192,2016,Maruti Suzuki,Maruti Suzuki Alto K10 VXi AMT (Airbag) [2014-2019],Alto,345000.0,37000.0,Petrol,Pune
193,2020,BMW,BMW 7 Series 730Ld DPE Signature,7,11500000.0,9000.0,Diesel,Pune
194,2011,Mahindra,Mahindra XUV500 W8,XUV500,520000.0,75000.0,Diesel,Pune
195,2012,Chevrolet,Chevrolet Cruze LTZ AT,Cruze,405000.0,87387.0,Diesel,Pune
196,2018,Toyota,Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],Innova,1650000.0,103357.0,Diesel,Pune
197,2021,Volkswagen,Volkswagen Polo GT TSI,Polo,1015000.0,11000.0,Petrol,Pune
198,2015,Toyota,Toyota Camry Hybrid,Camry,1651000.0000000002,81000.0,Petrol,Pune
199,2018,Audi,Audi Q3 30 TDI Premium FWD,Q3,2750000.0,33000.0,Diesel,Pune
